,discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness
9,d226f06362f5,00944C693682,"Limiting the usage of cars has personal and professional support all across the globe and yet it has yet to be embraced everywhere. Statistical proof show where it may help and real life examples of some of the effects of reducing, or getting rid of altogether, cars in one's daily life. While ""recent studies suggest that Americans are buying fewer cars, driving less and getting fewer licenses as each year goes by"" (Source 4), is that really enough or for the right reason? There are plenty of reasons to stop, or limit, the amount of cars being driven on the roads for every kind of person, from the hippie to the businessman, from the mom to the college student. ",Lead,Effective
10,de347c859ab6,00944C693682,"With so many things in this world that few people agree on, this is a nice change to see in regards the removal of so many cars. Why would they all agree, one might ask. Well, there are plenty of reasons. 
",Position,Effective
11,cc921c5cfda4,00944C693682,stress. ,Claim,Adequate
12,a6fcdd9110ab,00944C693682,"It is no secret that morning traffic jams and 5'o'clock traffic is often enough to send any driver into a fit of unadulterated rage and what better way is there to prevent that than to simply not drive at all? Mother and media trainer, Heidrum Walter attested to this after moving into a mostly car-less community, claiming ""when [she] had a car [she] was always tense. [She's] much happier [that] way"" (Source 1). If that were not enough, businessman Carlos Arturo Plaza who participated in the Day Without Cars in Bogota, Colombia, after just a day was able to say ""it's a good oppurtunity to take away stress"" (Source 3). Just one day was enough to de-stress this man and if that does not speak wonders, one has to wonder what does. The event ""[left] the streets of [Bogota] eerily devoid of traffic jams"" (Source 3), which goes to show how stressful it was everyday, with traffic jams a common occurance. No one enjoys them, so why continue to suffer through them? ",Evidence,Effective
13,6efd9102298b,00944C693682,the environment suffers greatly from the many car emissions let out on the roads. ,Claim,Effective
14,d6807f31da92,00944C693682,"""Passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe ... and up to 50 percent in some car-intensive areas in the United States"" (Source 1). This alone should be enough to horrify anyone out of such copious amounts of car usage. If that were not enough, ""transportation is the second largest source of America's emissions"" (Source 4). It is clear that cars are only doing more harm to this earth all humans live on and happen to only have one of, so there is no need to continue on knowing this without changing something about that. Even car-pooling could significantly reduce emissions as there would be less cars out there, which is possible through ""more flexible commuting arrangements, including the evolution of shared van services for getting to work"" (Source 4). 
",Evidence,Effective
15,024f3edf0cdb,00944C693682,", adding the last two reasons together makes for another very important factor in all of this: everyone's general health. Both stress and high concentrations of smog can do a toll on one's body and the reduction of cars, once again, helps to reduce this terrible down-sides to the easy transportation option ",Claim,Effective
16,cf5dc6eb65e0,00944C693682,"If it must be described as ""emissions ... are choking cities"" (Source 1), then why not be a bit more concerned. Air pollution can affect those with pre-existing respitory issues and stress can be a deciding factor in how effient and well a person can function. Stress on the road can lead to unsafe driving and a worse performance at work, school, or any other task-oriented location that many go to with the aid of a car. ",Evidence,Adequate
17,8df2da9994bf,00944C693682,It is also worth noting that cities that have embraced a no car lifestyle such as Vauban or Bogota have generally improved as a community and have given back anything the newly car-less citizens may have been missing out on through saving them time and money. ,Claim,Effective
18,033845420f01,00944C693682,"In Vauban, ""stores are placed a walk away, on a main street, rather than in malls along some distant highway"" (Source 1). This is not only much more cost-efficient, but also convienent. This is saving both time and money, just like in Bogota where ""parks and sports centers [] have bloomed throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up"" (Source 3). Not only does this help individual citizens and business owners, it helps the overall economy of the city as well. 
",Evidence,Effective
19,9fd314f638e5,00944C693682,"Individual car use isn't bad. Millions of individuals using cars, however, is very bad. Note the emphasis. Even just making a concious effort to car pool, bike to work or school, use public transportation, or use some sort of alternative transportation could be enough to clear up the air of some of it's emissions, keep oneself and others happier and less stressed, save time and money, and improve their city all in one little decision. It's just a matter of going ahead and doing it, so what is stopping anyone from going out and making that change now? Be the change you want to see and limit your car usage now.  ",Concluding Statement,Effective
123,5f20ed34ee51,023CEE52C08C,"In the article ""The Challenge of Exploring Venus"", it tals about how scientest are working on new technology to overcome the chalanges of Venus and its complications. ",Position,Ineffective
124,7ff80a11c483,023CEE52C08C,"In the begining of the artical it talks abou how Venus isthe second closest planet from the sun and how it is one of the two most similar planets to Earth. Since it has similarities to Earths' size and density scientest have sentunmanded spacecrafts to Venus to investigate.

Unfortunatlly no space craft has survived acording to the last two sentances of paragraph two. In the beginning of paragraph three it states how a thick atmosphere of almost 97 percent of carbon dioxide engulfs Venus. The clouds on this planet are also highly currosive with sulfuric acid in them. The planets surface averages about 800 degrees Fahrenheit and the atmospheric presure is 90 times greater than on Earth. This concludes that Venus has the hotest surface tempreature of any planet in our solar system. Venus also has obsticals like erupting valcanos, earthquakes, and frequent lightning stikes on the planets surface. ",Evidence,Ineffective
125,6460c3c57613,023CEE52C08C,With all these complications though scientest still are curious about this dangerous planet. ,Claim,Adequate
126,0859f09e1301,023CEE52C08C,"In the second sentance of the fourth paragraph it explains that astronomers are curious because it may have been the most Earth like planet in our solar system. The planet resembles a surface with rocky sediment and includes things such as valleys, mountains, and craters.

In the fifth paragraph it states that NASA is coming up with possible solutions to avoid most of these issues. One of them is inventing is a small vehical that resembles a blimp floating 30 miles above Venus's landscape. 
",Evidence,Ineffective
